MONTH,DAY,BCMT_UTC,ECET_UTC
1,1,06:26:00,15:47:00
1,2,06:26:00,15:48:00
1,3,06:26:00,15:49:00
1,4,06:26:00,15:50:00
1,5,06:26:00,15:51:00
1,6,06:26:00,15:52:00
1,7,06:25:00,15:53:00
1,8,06:25:00,15:54:00
1,9,06:25:00,15:55:00
1,10,06:25:00,15:56:00
1,11,06:24:00,15:58:00
1,12,06:24:00,15:59:00
1,13,06:23:00,16:00:00
1,14,06:23:00,16:01:00
1,15,06:22:00,16:03:00
1,16,06:22:00,16:04:00
1,17,06:21:00,16:05:00
1,18,06:21:00,16:06:00
1,19,06:20:00,16:08:00
1,20,06:19:00,16:09:00
1,21,06:18:00,16:10:00
1,22,06:18:00,16:12:00
1,23,06:17:00,16:13:00
1,24,06:16:00,16:15:00
1,25,06:15:00,16:16:00
1,26,06:14:00,16:17:00
1,27,06:13:00,16:19:00
1,28,06:12:00,16:20:00
1,29,06:11:00,16:22:00
1,30,06:10:00,16:23:00
1,31,06:09:00,16:25:00
2,1,06:08:00,16:26:00
2,2,06:07:00,16:28:00
2,3,06:05:00,16:29:00
2,4,06:04:00,16:31:00
2,5,06:03:00,16:32:00
2,6,06:02:00,16:34:00
2,7,06:00:00,16:35:00
2,8,05:59:00,16:37:00
2,9,05:58:00,16:38:00
2,10,05:56:00,16:40:00
2,11,05:55:00,16:41:00
2,12,05:53:00,16:43:00
2,13,05:52:00,16:45:00
2,14,05:50:00,16:46:00
2,15,05:49:00,16:48:00
2,16,05:47:00,16:49:00
2,17,05:46:00,16:51:00
2,18,05:44:00,16:52:00
2,19,05:42:00,16:54:00
2,20,05:41:00,16:55:00
2,21,05:39:00,16:57:00
2,22,05:37:00,16:58:00
2,23,05:36:00,17:00:00
2,24,05:34:00,17:01:00
2,25,05:32:00,17:03:00
2,26,05:30:00,17:04:00
2,27,05:29:00,17:06:00
2,28,05:27:00,17:07:00
3,1,05:25:00,17:09:00
3,2,05:23:00,17:11:00
3,3,05:21:00,17:12:00
3,4,05:19:00,17:14:00
3,5,05:17:00,17:15:00
3,6,05:15:00,17:17:00
3,7,05:14:00,17:18:00
3,8,05:12:00,17:20:00
3,9,05:10:00,17:21:00
3,10,05:08:00,17:23:00
3,11,05:06:00,17:24:00
3,12,05:04:00,17:26:00
3,13,05:02:00,17:27:00
3,14,05:00:00,17:29:00
3,15,04:58:00,17:30:00
3,16,04:56:00,17:32:00
3,17,04:54:00,17:33:00
3,18,04:52:00,17:35:00
3,19,04:50:00,17:36:00
3,20,04:48:00,17:37:00
3,21,04:46:00,17:39:00
3,22,04:43:00,17:40:00
3,23,04:41:00,17:42:00
3,24,04:39:00,17:43:00
3,25,04:37:00,17:45:00
3,26,04:35:00,17:46:00
3,27,04:33:00,17:48:00
3,28,04:31:00,17:49:00
3,29,04:29:00,17:51:00
3,30,04:27:00,17:52:00
3,31,04:25:00,17:54:00
4,1,04:23:00,17:55:00
4,2,04:21:00,17:57:00
4,3,04:19:00,17:58:00
4,4,04:17:00,18:00:00
4,5,04:15:00,18:01:00
4,6,04:13:00,18:03:00
4,7,04:11:00,18:04:00
4,8,04:09:00,18:06:00
4,9,04:07:00,18:07:00
4,10,04:05:00,18:09:00
4,11,04:03:00,18:10:00
4,12,04:01:00,18:12:00
4,13,03:59:00,18:13:00
4,14,03:57:00,18:15:00
4,15,03:55:00,18:16:00
4,16,03:53:00,18:18:00
4,17,03:51:00,18:20:00
4,18,03:49:00,18:21:00
4,19,03:47:00,18:23:00
4,20,03:45:00,18:24:00
4,21,03:43:00,18:26:00
4,22,03:42:00,18:27:00
4,23,03:40:00,18:29:00
4,24,03:38:00,18:31:00
4,25,03:36:00,18:32:00
4,26,03:34:00,18:34:00
4,27,03:32:00,18:35:00
4,28,03:30:00,18:37:00
4,29,03:29:00,18:38:00
4,30,03:27:00,18:40:00
5,1,03:25:00,18:42:00
5,2,03:23:00,18:43:00
5,3,03:22:00,18:45:00
5,4,03:20:00,18:46:00
5,5,03:18:00,18:48:00
5,6,03:16:00,18:50:00
5,7,03:15:00,18:51:00
5,8,03:13:00,18:53:00
5,9,03:12:00,18:54:00
5,10,03:10:00,18:56:00
5,11,03:08:00,18:57:00
5,12,03:07:00,18:59:00
5,13,03:05:00,19:00:00
5,14,03:04:00,19:02:00
5,15,03:03:00,19:03:00
5,16,03:01:00,19:05:00
5,17,03:00:00,19:06:00
5,18,02:58:00,19:08:00
5,19,02:57:00,19:09:00
5,20,02:56:00,19:11:00
5,21,02:55:00,19:12:00
5,22,02:53:00,19:13:00
5,23,02:52:00,19:15:00
5,24,02:51:00,19:16:00
5,25,02:50:00,19:17:00
5,26,02:49:00,19:19:00
5,27,02:48:00,19:20:00
5,28,02:47:00,19:21:00
5,29,02:46:00,19:22:00
5,30,02:45:00,19:24:00
5,31,02:44:00,19:25:00
6,1,02:44:00,19:26:00
6,2,02:43:00,19:27:00
6,3,02:42:00,19:28:00
6,4,02:42:00,19:29:00
6,5,02:41:00,19:30:00
