MONTH,DAY,BCMT_UTC,ECET_UTC
1,1,06:09:00,15:55:00
1,2,06:09:00,15:56:00
1,3,06:09:00,15:57:00
1,4,06:09:00,15:58:00
1,5,06:09:00,15:59:00
1,6,06:08:00,16:00:00
1,7,06:08:00,16:01:00
1,8,06:08:00,16:02:00
1,9,06:08:00,16:03:00
1,10,06:08:00,16:04:00
1,11,06:07:00,16:05:00
1,12,06:07:00,16:06:00
1,13,06:06:00,16:08:00
1,14,06:06:00,16:09:00
1,15,06:05:00,16:10:00
1,16,06:05:00,16:11:00
1,17,06:04:00,16:13:00
1,18,06:04:00,16:14:00
1,19,06:03:00,16:15:00
1,20,06:02:00,16:16:00
1,21,06:02:00,16:18:00
1,22,06:01:00,16:19:00
1,23,06:00:00,16:20:00
1,24,05:59:00,16:22:00
1,25,05:58:00,16:23:00
1,26,05:57:00,16:25:00
1,27,05:56:00,16:26:00
1,28,05:55:00,16:27:00
1,29,05:54:00,16:29:00
1,30,05:53:00,16:30:00
1,31,05:52:00,16:32:00
2,1,05:51:00,16:33:00
2,2,05:50:00,16:35:00
2,3,05:49:00,16:36:00
2,4,05:48:00,16:37:00
2,5,05:46:00,16:39:00
2,6,05:45:00,16:40:00
2,7,05:44:00,16:42:00
2,8,05:42:00,16:43:00
2,9,05:41:00,16:45:00
2,10,05:40:00,16:46:00
2,11,05:38:00,16:48:00
2,12,05:37:00,16:49:00
2,13,05:35:00,16:51:00
2,14,05:34:00,16:52:00
2,15,05:32:00,16:54:00
2,16,05:31:00,16:55:00
2,17,05:29:00,16:57:00
2,18,05:27:00,16:58:00
2,19,05:26:00,16:59:00
2,20,05:24:00,17:01:00
2,21,05:22:00,17:02:00
2,22,05:21:00,17:04:00
2,23,05:19:00,17:05:00
2,24,05:17:00,17:07:00
2,25,05:15:00,17:08:00
2,26,05:14:00,17:10:00
2,27,05:12:00,17:11:00
2,28,05:10:00,17:13:00
3,1,05:08:00,17:14:00
3,2,05:06:00,17:16:00
3,3,05:05:00,17:17:00
3,4,05:03:00,17:18:00
3,5,05:01:00,17:20:00
3,6,04:59:00,17:21:00
