MONTH,DAY,BCMT_UTC,ECET_UTC
1,1,06:26:00,16:10:00
1,2,06:26:00,16:11:00
1,3,06:26:00,16:12:00
1,4,06:26:00,16:13:00
1,5,06:26:00,16:14:00
1,6,06:26:00,16:15:00
1,7,06:25:00,16:16:00
1,8,06:25:00,16:17:00
1,9,06:25:00,16:18:00
1,10,06:25:00,16:20:00
1,11,06:24:00,16:21:00
1,12,06:24:00,16:22:00
1,13,06:23:00,16:23:00
1,14,06:23:00,16:24:00
1,15,06:22:00,16:26:00
1,16,06:22:00,16:27:00
1,17,06:21:00,16:28:00
1,18,06:21:00,16:29:00
1,19,06:20:00,16:31:00
1,20,06:19:00,16:32:00
1,21,06:18:00,16:33:00
1,22,06:18:00,16:35:00
1,23,06:17:00,16:36:00
1,24,06:16:00,16:38:00
1,25,06:15:00,16:39:00
1,26,06:14:00,16:40:00
1,27,06:13:00,16:42:00
1,28,06:12:00,16:43:00
1,29,06:11:00,16:45:00
1,30,06:10:00,16:46:00
1,31,06:09:00,16:48:00
2,1,06:08:00,16:49:00
2,2,06:07:00,16:51:00
2,3,06:05:00,16:52:00
2,4,06:04:00,16:53:00
2,5,06:03:00,16:55:00
2,6,06:02:00,16:56:00
2,7,06:00:00,16:58:00
2,8,05:59:00,16:59:00
2,9,05:58:00,17:01:00
2,10,05:56:00,17:02:00
2,11,05:55:00,17:04:00
2,12,05:53:00,17:05:00
2,13,05:52:00,17:07:00
2,14,05:50:00,17:08:00
2,15,05:49:00,17:10:00
2,16,05:47:00,17:11:00
2,17,05:46:00,17:13:00
2,18,05:44:00,17:14:00
2,19,05:42:00,17:16:00
2,20,05:41:00,17:17:00
2,21,05:39:00,17:19:00
2,22,05:37:00,17:20:00
2,23,05:36:00,17:22:00
2,24,05:34:00,17:23:00
2,25,05:32:00,17:25:00
2,26,05:30:00,17:26:00
2,27,05:29:00,17:28:00
2,28,05:27:00,17:29:00
3,1,05:25:00,17:30:00
3,2,05:23:00,17:32:00
3,3,05:21:00,17:33:00
3,4,05:19:00,17:35:00
3,5,05:17:00,17:36:00
3,6,05:15:00,17:38:00
3,7,05:14:00,17:39:00
3,8,05:12:00,17:41:00
3,9,05:10:00,17:42:00
3,10,05:08:00,17:43:00
3,11,05:06:00,17:45:00
3,12,05:04:00,17:46:00
3,13,05:02:00,17:48:00
3,14,05:00:00,17:49:00
3,15,04:58:00,17:51:00
3,16,04:56:00,17:52:00
