MONTH,DAY,BCMT_UTC,ECET_UTC
1,1,06:18:00,15:56:00
1,2,06:18:00,15:57:00
1,3,06:18:00,15:58:00
1,4,06:17:00,15:59:00
1,5,06:17:00,16:00:00
1,6,06:17:00,16:01:00
1,7,06:17:00,16:02:00
1,8,06:17:00,16:03:00
1,9,06:16:00,16:04:00
1,10,06:16:00,16:05:00
1,11,06:16:00,16:07:00
1,12,06:15:00,16:08:00
1,13,06:15:00,16:09:00
1,14,06:14:00,16:10:00
1,15,06:14:00,16:12:00
1,16,06:13:00,16:13:00
1,17,06:13:00,16:14:00
1,18,06:12:00,16:15:00
1,19,06:11:00,16:17:00
1,20,06:10:00,16:18:00
1,21,06:10:00,16:20:00
1,22,06:09:00,16:21:00
1,23,06:08:00,16:22:00
1,24,06:07:00,16:24:00
1,25,06:06:00,16:25:00
1,26,06:05:00,16:27:00
1,27,06:04:00,16:28:00
1,28,06:03:00,16:30:00
1,29,06:02:00,16:31:00
1,30,06:01:00,16:33:00
1,31,06:00:00,16:34:00
2,1,05:59:00,16:36:00
2,2,05:57:00,16:37:00
2,3,05:56:00,16:39:00
2,4,05:55:00,16:40:00
2,5,05:53:00,16:42:00
2,6,05:52:00,16:43:00
2,7,05:51:00,16:45:00
2,8,05:49:00,16:46:00
2,9,05:48:00,16:48:00
2,10,05:46:00,16:49:00
2,11,05:45:00,16:51:00
2,12,05:43:00,16:52:00
2,13,05:42:00,16:54:00
2,14,05:40:00,16:56:00
2,15,05:39:00,16:57:00
2,16,05:37:00,16:59:00
2,17,05:35:00,17:00:00
2,18,05:34:00,17:02:00
2,19,05:32:00,17:03:00
2,20,05:30:00,17:05:00
2,21,05:29:00,17:06:00
2,22,05:27:00,17:08:00
2,23,05:25:00,17:09:00
2,24,05:23:00,17:11:00
2,25,05:21:00,17:12:00
2,26,05:20:00,17:14:00
2,27,05:18:00,17:16:00
2,28,05:16:00,17:17:00
3,1,05:14:00,17:19:00
3,2,05:12:00,17:20:00
3,3,05:10:00,17:22:00
3,4,05:08:00,17:23:00
3,5,05:06:00,17:25:00
3,6,05:04:00,17:26:00
3,7,05:02:00,17:28:00
3,8,05:00:00,17:29:00
3,9,04:58:00,17:31:00
3,10,04:56:00,17:32:00
3,11,04:54:00,17:34:00
3,12,04:52:00,17:35:00
3,13,04:50:00,17:37:00
3,14,04:48:00,17:38:00
3,15,04:46:00,17:40:00
3,16,04:44:00,17:41:00
3,17,04:42:00,17:43:00
3,18,04:40:00,17:44:00
3,19,04:38:00,17:46:00
3,20,04:35:00,17:47:00
3,21,04:33:00,17:49:00
3,22,04:31:00,17:50:00
3,23,04:29:00,17:52:00
3,24,04:27:00,17:53:00
3,25,04:25:00,17:54:00
3,26,04:23:00,17:56:00
3,27,04:21:00,17:57:00
3,28,04:19:00,17:59:00
3,29,04:17:00,18:00:00
3,30,04:14:00,18:02:00
3,31,04:12:00,18:03:00
4,1,04:10:00,18:05:00
4,2,04:08:00,18:06:00
4,3,04:06:00,18:08:00
4,4,04:04:00,18:09:00
4,5,04:02:00,18:11:00
4,6,04:00:00,18:12:00
4,7,03:58:00,18:14:00
4,8,03:56:00,18:15:00
4,9,03:54:00,18:17:00
4,10,03:52:00,18:19:00
4,11,03:50:00,18:20:00
4,12,03:48:00,18:22:00
4,13,03:46:00,18:23:00
4,14,03:44:00,18:25:00
4,15,03:42:00,18:26:00
4,16,03:39:00,18:28:00
4,17,03:37:00,18:29:00
4,18,03:35:00,18:31:00
4,19,03:33:00,18:33:00
4,20,03:31:00,18:34:00
4,21,03:29:00,18:36:00
4,22,03:27:00,18:37:00
4,23,03:25:00,18:39:00
4,24,03:24:00,18:41:00
4,25,03:22:00,18:42:00
4,26,03:20:00,18:44:00
4,27,03:18:00,18:45:00
4,28,03:16:00,18:47:00
4,29,03:14:00,18:49:00
4,30,03:12:00,18:50:00
5,1,03:10:00,18:52:00
5,2,03:08:00,18:53:00
5,3,03:07:00,18:55:00
5,4,03:05:00,18:56:00
5,5,03:03:00,18:58:00
5,6,03:01:00,19:00:00
5,7,03:00:00,19:01:00
5,8,02:58:00,19:03:00
5,9,02:56:00,19:04:00
5,10,02:55:00,19:06:00
5,11,02:53:00,19:07:00
5,12,02:51:00,19:09:00
5,13,02:50:00,19:11:00
5,14,02:48:00,19:12:00
5,15,02:47:00,19:14:00
5,16,02:45:00,19:15:00
5,17,02:44:00,19:17:00
5,18,02:42:00,19:18:00
5,19,02:41:00,19:19:00
5,20,02:40:00,19:21:00
5,21,02:38:00,19:22:00
5,22,02:37:00,19:24:00
5,23,02:36:00,19:25:00
5,24,02:35:00,19:26:00
5,25,02:34:00,19:28:00
5,26,02:32:00,19:29:00
5,27,02:31:00,19:30:00
5,28,02:30:00,19:31:00
5,29,02:29:00,19:33:00
5,30,02:29:00,19:34:00
5,31,02:28:00,19:35:00
6,1,02:27:00,19:36:00
6,2,02:26:00,19:37:00
6,3,02:25:00,19:38:00
6,4,02:25:00,19:39:00
6,5,02:24:00,19:40:00
6,6,02:23:00,19:41:00
