MONTH,DAY,BCMT_UTC,ECET_UTC
1,1,06:21:00,16:02:00
1,2,06:21:00,16:03:00
1,3,06:21:00,16:04:00
1,4,06:21:00,16:05:00
1,5,06:21:00,16:06:00
1,6,06:21:00,16:07:00
1,7,06:20:00,16:08:00
1,8,06:20:00,16:09:00
1,9,06:20:00,16:10:00
1,10,06:20:00,16:11:00
1,11,06:19:00,16:13:00
1,12,06:19:00,16:14:00
1,13,06:18:00,16:15:00
1,14,06:18:00,16:16:00
1,15,06:17:00,16:17:00
1,16,06:17:00,16:19:00
1,17,06:16:00,16:20:00
1,18,06:15:00,16:21:00
1,19,06:15:00,16:23:00
1,20,06:14:00,16:24:00
1,21,06:13:00,16:25:00
1,22,06:12:00,16:27:00
1,23,06:12:00,16:28:00
1,24,06:11:00,16:30:00
1,25,06:10:00,16:31:00
1,26,06:09:00,16:32:00
1,27,06:08:00,16:34:00
1,28,06:07:00,16:35:00
1,29,06:06:00,16:37:00
1,30,06:05:00,16:38:00
1,31,06:03:00,16:40:00
2,1,06:02:00,16:41:00
2,2,06:01:00,16:43:00
2,3,06:00:00,16:44:00
2,4,05:59:00,16:46:00
2,5,05:57:00,16:47:00
2,6,05:56:00,16:49:00
2,7,05:55:00,16:50:00
2,8,05:53:00,16:52:00
2,9,05:52:00,16:53:00
2,10,05:50:00,16:55:00
2,11,05:49:00,16:56:00
2,12,05:47:00,16:58:00
2,13,05:46:00,16:59:00
2,14,05:44:00,17:01:00
2,15,05:43:00,17:02:00
2,16,05:41:00,17:04:00
2,17,05:40:00,17:05:00
2,18,05:38:00,17:07:00
2,19,05:36:00,17:09:00
2,20,05:35:00,17:10:00
2,21,05:33:00,17:12:00
2,22,05:31:00,17:13:00
2,23,05:29:00,17:15:00
2,24,05:28:00,17:16:00
2,25,05:26:00,17:18:00
2,26,05:24:00,17:19:00
2,27,05:22:00,17:21:00
2,28,05:20:00,17:22:00
3,1,05:18:00,17:24:00
3,2,05:17:00,17:25:00
3,3,05:15:00,17:27:00
3,4,05:13:00,17:28:00
3,5,05:11:00,17:29:00
3,6,05:09:00,17:31:00
3,7,05:07:00,17:32:00
3,8,05:05:00,17:34:00
3,9,05:03:00,17:35:00
3,10,05:01:00,17:37:00
3,11,04:59:00,17:38:00
3,12,04:57:00,17:40:00
3,13,04:55:00,17:41:00
3,14,04:53:00,17:43:00
3,15,04:51:00,17:44:00
3,16,04:49:00,17:46:00
3,17,04:47:00,17:47:00
3,18,04:45:00,17:49:00
3,19,04:43:00,17:50:00
3,20,04:41:00,17:51:00
3,21,04:38:00,17:53:00
3,22,04:36:00,17:54:00
3,23,04:34:00,17:56:00
3,24,04:32:00,17:57:00
3,25,04:30:00,17:59:00
3,26,04:28:00,18:00:00
3,27,04:26:00,18:02:00
3,28,04:24:00,18:03:00
3,29,04:22:00,18:04:00
3,30,04:20:00,18:06:00
3,31,04:18:00,18:07:00
4,1,04:16:00,18:09:00
4,2,04:14:00,18:10:00
4,3,04:11:00,18:12:00
4,4,04:09:00,18:13:00
4,5,04:07:00,18:15:00
4,6,04:05:00,18:16:00
4,7,04:03:00,18:18:00
4,8,04:01:00,18:19:00
4,9,03:59:00,18:21:00
4,10,03:57:00,18:22:00
4,11,03:55:00,18:24:00
4,12,03:53:00,18:25:00
4,13,03:51:00,18:27:00
4,14,03:49:00,18:28:00
4,15,03:47:00,18:30:00
4,16,03:45:00,18:31:00
4,17,03:43:00,18:33:00
4,18,03:41:00,18:35:00
4,19,03:39:00,18:36:00
4,20,03:37:00,18:38:00
4,21,03:35:00,18:39:00
4,22,03:33:00,18:41:00
4,23,03:32:00,18:42:00
4,24,03:30:00,18:44:00
4,25,03:28:00,18:45:00
4,26,03:26:00,18:47:00
4,27,03:24:00,18:49:00
4,28,03:22:00,18:50:00
4,29,03:20:00,18:52:00
4,30,03:18:00,18:53:00
5,1,03:17:00,18:55:00
5,2,03:15:00,18:56:00
5,3,03:13:00,18:58:00
5,4,03:11:00,19:00:00
5,5,03:09:00,19:01:00
5,6,03:08:00,19:03:00
5,7,03:06:00,19:04:00
5,8,03:04:00,19:06:00
5,9,03:03:00,19:07:00
